original_state_name,state,month,month_name,avg_rainfall_mm
Perak,Perak,7,Jul,4.15
Perak,Perak,8,Aug,5.97
Perak,Perak,9,Sep,7.6
Perak,Perak,10,Oct,9.8
Perak,Perak,11,Nov,10.33
Perak,Perak,12,Dec,9.79
Perlis,Perlis,1,Jan,1.2
Perlis,Perlis,2,Feb,1.65
Perlis,Perlis,3,Mar,2.69
Perlis,Perlis,4,Apr,6.37
Perlis,Perlis,5,May,5.12
Perlis,Perlis,6,Jun,5.6
Perlis,Perlis,7,Jul,5.97
Perlis,Perlis,8,Aug,6.37
Perlis,Perlis,9,Sep,8.88
Perlis,Perlis,10,Oct,9.04
Perlis,Perlis,11,Nov,5.89
Perlis,Perlis,12,Dec,2.43
Selangor,Selangor,1,Jan,4.27
Selangor,Selangor,2,Feb,5.29
Selangor,Selangor,3,Mar,5.34
Selangor,Selangor,4,Apr,10.21
Selangor,Selangor,5,May,5.39
Selangor,Selangor,6,Jun,4.98
Selangor,Selangor,7,Jul,4.33
Selangor,Selangor,8,Aug,5.38
Selangor,Selangor,9,Sep,6.17
Selangor,Selangor,10,Oct,7.92
Selangor,Selangor,11,Nov,10.6
Selangor,Selangor,12,Dec,9.48
Selangor-Wilayah,Kuala Lumpur,1,Jan,4.27
Selangor-Wilayah,Kuala Lumpur,2,Feb,5.29
Selangor-Wilayah,Kuala Lumpur,3,Mar,5.34
Selangor-Wilayah,Kuala Lumpur,4,Apr,10.22
Selangor-Wilayah,Kuala Lumpur,5,May,5.39
Selangor-Wilayah,Kuala Lumpur,6,Jun,4.98
Selangor-Wilayah,Kuala Lumpur,7,Jul,4.33
Selangor-Wilayah,Kuala Lumpur,8,Aug,5.38
Selangor-Wilayah,Kuala Lumpur,9,Sep,6.17
Selangor-Wilayah,Kuala Lumpur,10,Oct,7.92
Selangor-Wilayah,Kuala Lumpur,11,Nov,10.6
Selangor-Wilayah,Kuala Lumpur,12,Dec,9.48
Terengganu,Terengganu,1,Jan,6.57
Terengganu,Terengganu,2,Feb,3.49
Terengganu,Terengganu,3,Mar,3.87
Terengganu,Terengganu,4,Apr,3.71
Terengganu,Terengganu,5,May,5.22
Terengganu,Terengganu,6,Jun,6.48
Terengganu,Terengganu,7,Jul,5.99
Terengganu,Terengganu,8,Aug,6.46
Terengganu,Terengganu,9,Sep,8.89
Terengganu,Terengganu,10,Oct,9.52
Terengganu,Terengganu,11,Nov,25.88
Terengganu,Terengganu,12,Dec,20.37
